iter	Passed	Remaining
437	1354	1738
438	1357	1734
439	1360	1731
440	1363	1727
441	1365	1724
442	1369	1721
443	1372	1718
444	1375	1715
445	1377	1711
446	1380	1708
447	1383	1704
448	1386	1701
449	1390	1699
450	1393	1695
451	1395	1692
452	1398	1689
453	1401	1685
454	1404	1682
455	1407	1678
456	1409	1675
457	1412	1672
458	1415	1668
459	1418	1664
460	1421	1661
461	1423	1657
462	1426	1654
463	1429	1650
464	1431	1647
465	1434	1643
466	1437	1640
467	1440	1637
468	1443	1634
469	1447	1631
470	1449	1628
471	1452	1624
472	1455	1621
473	1457	1617
474	1460	1613
475	1462	1610
476	1465	1606
477	1468	1603
478	1471	1600
479	1473	1596
480	1476	1593
481	1479	1589
482	1481	1586
483	1484	1582
484	1487	1579
485	1490	1575
486	1492	1572
487	1494	1568
488	1497	1564
489	1500	1561
490	1503	1558
491	1505	1554
492	1508	1551
493	1511	1547
494	1513	1543
495	1516	1540
496	1519	1537
497	1522	1534
498	1524	1530
499	1527	1527
500	1529	1523
501	1532	1520
502	1535	1516
503	1538	1513
504	1540	1510
505	1543	1507
506	1546	1503
507	1549	1500
508	1551	1496
509	1554	1493
510	1556	1489
511	1559	1486
512	1562	1483
513	1565	1480
514	1568	1477
515	1571	1474
516	1574	1470
517	1576	1467
518	1579	1463
519	1581	1460
520	1584	1456
521	1587	1453
522	1589	1449
523	1592	1446
524	1595	1443
525	1597	1439
526	1600	1436
527	1602	1432
528	1605	1429
529	1608	1426
530	1611	1422
531	1614	1419
532	1617	1416
533	1619	1413
534	1622	1410
535	1625	1407
536	1628	1403
537	1631	1400
538	1633	1397
539	1636	1394
540	1639	1391
541	1641	1387
542	1644	1384
543	1647	1381
544	1650	1377
545	1653	1374
546	1656	1371
547	1658	1368
548	1661	1365
549	1664	1361
550	1667	1358
551	1670	1355
552	1673	1352
553	1676	1349
554	1679	1346
555	1682	1343
556	1685	1340
557	1687	1337
558	1690	1333
559	1693	1330
560	1696	1327
561	1699	1324
562	1702	1321
563	1705	1318
564	1708	1315
565	1710	1311
566	1714	1309
567	1717	1305
568	1720	1302
569	1722	1299
570	1725	1296
571	1728	1293
572	1731	1290
573	1734	1286
574	1736	1283
575	1739	1280
576	1742	1277
577	1745	1274
578	1748	1271
579	1751	1268
580	1753	1264
581	1756	1261
582	1758	1258
583	1761	1255
584	1764	1251
585	1767	1248
586	1769	1245
587	1772	1242
588	1774	1238
589	1777	1235
590	1780	1231
591	1782	1228
592	1785	1225
593	1788	1222
594	1791	1219
595	1794	1216
596	1796	1212
597	1799	1209
598	1801	1206
599	1804	1203
600	1807	1199
601	1810	1196
602	1812	1193
603	1815	1190
604	1817	1186
605	1820	1183
606	1823	1180
607	1826	1177
608	1829	1174
609	1832	1171
610	1835	1168
611	1838	1165
612	1841	1162
613	1844	1159
614	1847	1156
615	1850	1153
616	1853	1150
617	1855	1147
618	1858	1143
619	1861	1140
620	1863	1137
621	1866	1134
622	1870	1131
623	1872	1128
624	1875	1125
625	1878	1122
626	1881	1119
627	1884	1116
628	1886	1112
629	1889	1109
630	1892	1106
631	1895	1103
632	1898	1100
633	1900	1097
634	1903	1094
635	1908	1092
636	1911	1089
637	1914	1086
